ts,laeq,lceq,lzeq,PM1.0,PM2.5,PM10,engine,machinery_impact,non_machinery_impact,powered_saw,human_voice,praxis_pm1_vals,praxis_pm2p5_vals,praxis_pm10_vals,praxis_pm1_vals_adj,praxis_pm2p5_vals_adj,praxis_pm10_vals_adj,temp_c,rel_humid,PM2.5_adj
2022-06-17 11:00:00-04:00,74.793,85.7651,87.0835,12.3393,21.9809,24.0214,0.5947,0.2534,0.1361,0.0077,0.1147,4.2,9.4,21.2,13.0,15.9,28.3,27.61,76.0,17.0246
2022-06-17 11:01:00-04:00,74.7043,85.289,86.4177,10.9894,19.1842,21.3718,0.5987,0.2592,0.122,0.0059,0.1095,4.5,9.2,20.7,13.1,16.4,30.9,27.61,76.0,16.2205
2022-06-17 11:02:00-04:00,76.238,86.1841,87.2001,9.2023,16.048,18.1669,0.6037,0.2772,0.1299,0.0063,0.1178,4.5,9.3,19.8,13.4,16.0,30.8,27.61,76.0,13.3326
2022-06-17 11:03:00-04:00,74.6117,84.6108,85.7501,10.9738,21.7096,25.5309,0.5994,0.2786,0.1197,0.0079,0.1098,4.5,10.0,23.0,14.2,16.7,35.4,27.61,76.0,16.9865
2022-06-17 11:04:00-04:00,80.1337,87.4544,88.4576,13.2562,27.8408,32.9474,0.5723,0.3083,0.1258,0.0083,0.1182,4.6,9.9,20.5,14.4,17.1,29.5,27.94,74.0,17.9036
2022-06-17 11:05:00-04:00,75.4342,85.0539,86.2502,12.0052,23.8547,28.0565,0.5788,0.2758,0.1326,0.0064,0.1448,4.4,10.0,18.6,14.3,17.3,27.8,27.94,74.0,17.5228
2022-06-17 11:06:00-04:00,76.3817,86.1092,87.3453,8.4076,14.9231,17.104,0.6108,0.2812,0.12,0.0071,0.126,4.1,8.9,24.5,12.9,15.7,33.9,27.94,74.0,13.1469
2022-06-17 11:07:00-04:00,73.7633,84.1015,85.3083,10.8766,22.6142,27.2719,0.567,0.2609,0.1247,0.0066,0.12,4.1,8.9,20.6,12.7,15.5,34.1,27.94,74.0,17.2573
2022-06-17 11:08:00-04:00,75.4012,86.804,87.9147,13.1737,26.0192,29.434,0.5864,0.2969,0.1311,0.0093,0.1227,4.4,9.5,21.6,14.1,17.6,32.8,27.94,74.0,17.9457
2022-06-17 11:09:00-04:00,75.8823,86.6325,87.6554,10.2686,16.1276,17.5801,0.5942,0.2854,0.1382,0.0064,0.1091,4.3,9.2,19.1,14.5,17.6,30.6,28.22,75.0,13.4186
2022-06-17 11:10:00-04:00,75.5282,87.023,88.1136,12.6468,24.1601,28.8973,0.6028,0.2992,0.1343,0.0072,0.1209,4.2,9.3,18.9,14.2,16.2,26.6,28.22,75.0,17.5031
2022-06-17 11:11:00-04:00,78.6767,89.6986,90.7074,12.5827,22.1261,24.2735,0.583,0.301,0.1375,0.008,0.1163,4.5,9.0,17.1,14.8,17.5,29.2,28.22,75.0,16.9754
2022-06-17 11:12:00-04:00,73.4532,84.4132,85.5531,12.2811,22.3348,24.9775,0.5853,0.2627,0.1394,0.0068,0.1077,4.1,9.6,17.7,14.3,16.0,27.8,28.22,75.0,17.0953
2022-06-17 11:13:00-04:00,77.103,87.2513,88.4123,9.078,17.3857,20.2514,0.6088,0.2984,0.1215,0.0085,0.1112,4.0,8.4,19.7,13.6,16.5,29.6,28.22,75.0,14.0379
2022-06-17 11:14:00-04:00,76.2167,86.452,87.4723,8.1496,15.4354,17.2264,0.5957,0.283,0.1182,0.0083,0.1206,4.1,8.8,15.0,12.6,14.5,23.9,28.0,75.0,13.1225
2022-06-17 11:15:00-04:00,76.9278,87.0529,88.1639,7.204,15.3085,18.6451,0.586,0.3191,0.1299,0.007,0.116,4.1,8.8,16.7,13.8,16.0,28.5,28.0,75.0,13.07
2022-06-17 11:16:00-04:00,75.0986,86.4397,87.5503,7.8058,14.1046,15.3316,0.5886,0.259,0.1347,0.007,0.1271,4.3,9.0,18.8,13.7,16.0,25.8,28.0,75.0,11.8784
2022-06-17 11:17:00-04:00,75.0666,85.1189,86.1667,6.8162,15.5275,18.5967,0.5944,0.2946,0.1283,0.0078,0.112,4.2,10.0,18.4,13.2,15.7,27.6,28.0,75.0,13.1452
2022-06-17 11:18:00-04:00,75.2961,85.5704,86.7759,6.5059,11.8815,13.5623,0.6006,0.2455,0.1354,0.0072,0.1209,4.2,9.2,19.5,14.3,16.5,31.0,28.0,75.0,10.213
2022-06-17 11:19:00-04:00,75.7521,85.1839,86.4588,34.0287,82.8489,99.4836,0.5872,0.278,0.1419,0.0105,0.1073,4.4,10.0,20.6,13.7,16.4,31.7,28.11,74.0,13.9778
2022-06-17 11:20:00-04:00,75.2709,84.0551,85.1791,22.7023,36.0936,37.632,0.5882,0.2868,0.1226,0.0077,0.1117,4.2,10.4,22.8,14.3,16.8,33.1,28.11,74.0,16.636
2022-06-17 11:21:00-04:00,76.9171,87.6642,88.808,11.2054,16.7008,18.6935,0.5815,0.3198,0.1317,0.0115,0.1072,4.0,9.2,20.2,14.0,17.2,29.8,28.11,74.0,14.0773
2022-06-17 11:22:00-04:00,79.1269,88.2315,89.2935,7.9494,12.1278,13.7524,0.6085,0.3045,0.1334,0.0075,0.1067,4.2,10.4,24.9,14.1,16.0,32.3,28.11,74.0,10.3446
2022-06-17 11:23:00-04:00,76.4374,85.6018,86.6532,7.9006,14.0898,16.5039,0.61,0.2952,0.122,0.0085,0.1123,3.8,8.4,17.5,12.8,14.4,25.9,28.11,74.0,12.5319
2022-06-17 11:24:00-04:00,76.3953,86.4437,87.683,18.3006,31.6383,36.1801,0.585,0.3088,0.1435,0.0099,0.1235,3.9,8.7,18.7,13.9,15.4,29.2,28.22,73.0,17.4568
2022-06-17 11:25:00-04:00,77.4755,86.8285,87.9443,15.2758,27.5605,30.8211,0.5957,0.3001,0.1276,0.0071,0.1149,3.9,8.9,24.4,13.7,16.0,29.9,28.22,73.0,18.1426
2022-06-17 11:26:00-04:00,79.8215,89.4945,90.3107,9.8355,16.6583,18.8336,0.5917,0.3105,0.1201,0.0111,0.118,3.7,9.1,17.0,12.9,15.4,26.9,28.22,73.0,14.3
2022-06-17 11:27:00-04:00,76.4807,85.8808,87.1458,8.9725,17.2327,20.0729,0.5871,0.2684,0.1416,0.0065,0.125,3.9,8.5,23.4,13.8,14.8,28.8,28.22,73.0,14.598
2022-06-17 11:28:00-04:00,73.8356,84.4659,85.7431,8.0709,14.4436,15.376,0.6045,0.2843,0.1192,0.0072,0.1317,4.1,8.8,14.8,13.6,15.2,25.6,28.22,73.0,13.3617
2022-06-17 11:29:00-04:00,76.1213,85.0111,86.1753,6.0523,11.9002,13.9334,0.5986,0.2917,0.1265,0.0069,0.1063,4.1,9.4,17.6,14.0,15.9,29.3,28.83,71.0,10.5767
