ts,laeq,lceq,lzeq,PM1.0,PM2.5,PM10,engine,machinery_impact,non_machinery_impact,powered_saw,human_voice,temp_c,rel_humid,PM2.5_adj
2022-06-16 15:44:00-04:00,51.9149,57.0711,58.1149,1.0734,1.1682,1.3913,0.4366,0.2401,0.1428,0.0124,0.1655,21.61,81.0,7.6357
2022-06-16 15:45:00-04:00,52.297,57.307,58.1017,0.8419,0.9215,1.0244,0.4488,0.2151,0.1374,0.0118,0.1902,21.61,81.0,7.6197
2022-06-16 15:46:00-04:00,51.1484,57.3303,58.5252,0.6971,0.7887,0.95,0.4068,0.2654,0.1573,0.0134,0.2086,21.61,81.0,7.6147
2022-06-16 15:47:00-04:00,54.7965,59.4691,60.526,0.6755,0.7991,1.0347,0.4312,0.2312,0.1453,0.0139,0.1936,21.61,81.0,7.6147
2022-06-16 15:48:00-04:00,50.2179,57.1979,58.0625,0.6521,0.7251,0.7889,0.41,0.2413,0.1403,0.0114,0.2461,21.61,81.0,7.6119
2022-06-16 15:49:00-04:00,52.5833,58.9847,60.5018,0.5513,0.6059,0.6851,0.4554,0.2404,0.143,0.0141,0.1815,21.61,81.0,7.6036
2022-06-16 15:50:00-04:00,55.8918,60.5397,61.4144,0.7125,0.8531,1.1538,0.4395,0.2357,0.1396,0.0112,0.1886,21.61,81.0,7.6205
2022-06-16 15:51:00-04:00,54.3478,59.8617,60.9193,0.7573,0.8366,0.9417,0.472,0.2532,0.1233,0.0153,0.1654,21.61,81.0,7.6205
2022-06-16 15:52:00-04:00,53.116,58.4929,59.9151,0.7584,0.8597,0.9918,0.4179,0.2363,0.1707,0.0134,0.1813,21.61,81.0,7.6197
2022-06-16 15:53:00-04:00,54.7914,60.5987,61.4672,0.7833,0.884,0.9911,0.4837,0.2487,0.1461,0.0146,0.1551,21.61,81.0,7.6197
2022-06-16 15:54:00-04:00,52.6797,59.701,60.7309,0.79,0.9236,1.039,0.469,0.2577,0.1399,0.0147,0.1824,21.61,81.0,7.621
2022-06-16 15:55:00-04:00,54.6245,59.4407,60.3734,0.7253,0.8443,1.0185,0.4615,0.2489,0.1583,0.0165,0.1499,21.61,81.0,7.6205
2022-06-16 15:56:00-04:00,54.1138,59.8522,61.062,0.8472,1.0491,1.3643,0.4954,0.2426,0.143,0.0195,0.1333,21.61,81.0,7.623
2022-06-16 15:57:00-04:00,51.234,56.8476,57.6989,0.9518,1.1297,1.2915,0.4701,0.2667,0.1459,0.0162,0.149,21.61,81.0,7.6324
2022-06-16 15:58:00-04:00,51.4507,58.2993,59.4735,0.8136,0.9502,1.0942,0.4375,0.256,0.142,0.0176,0.1651,21.61,81.0,7.621
2022-06-16 15:59:00-04:00,50.0037,55.9478,57.3887,0.8524,1.0339,1.2078,0.4388,0.2493,0.1391,0.0179,0.1602,21.61,81.0,7.623
2022-06-16 16:00:00-04:00,53.2538,58.39,59.4727,0.8639,1.0392,1.399,0.4722,0.2449,0.1345,0.0146,0.1322,21.61,81.0,7.623
2022-06-16 16:01:00-04:00,49.5307,55.5508,56.581,0.854,0.9962,1.1249,0.4613,0.2425,0.1404,0.0149,0.1673,21.61,81.0,7.6224
2022-06-16 16:02:00-04:00,55.947,59.0491,59.5861,0.8178,0.9282,1.2633,0.5327,0.2674,0.1158,0.0157,0.1127,21.61,81.0,7.621
2022-06-16 16:03:00-04:00,54.7607,58.1872,58.9409,0.6732,0.7632,0.8793,0.5238,0.1674,0.1329,0.0155,0.1204,21.61,81.0,7.6142
2022-06-16 16:04:00-04:00,49.9996,54.6153,55.302,0.5649,0.5999,0.7664,0.457,0.2475,0.1455,0.0171,0.1369,21.61,81.0,7.6036
